"","epi_ctry","epi_subj","score"
"1","US",10381,0
"2","US",10382,0
"3","US",10383,2
"4","US",10384,1
"5","US",10385,0
"6","US",10386,1
"7","US",10387,1
"8","US",10388,0
"9","US",10389,0
"10","US",10390,0
"11","US",10391,2
"12","US",10392,1
"13","US",10393,0
"14","US",10394,1
"15","US",10395,1
"16","US",10396,1
"17","US",10397,2
"18","US",10398,0
"19","US",10399,1
"20","US",10400,1
"21","US",10401,1
"22","US",10402,0
"23","US",10403,0
"24","US",10404,1
"25","US",10405,2
"26","US",10406,2
"27","US",10407,2
"28","US",10408,2
"29","US",10409,1
"30","US",10410,2
"31","US",10411,0
"32","US",10412,1
"33","US",10413,1
"34","US",10414,2
"35","US",10415,1
"36","US",10416,2
"37","US",10417,1
"38","US",10418,0
"39","US",10419,1
"40","US",10420,2
"41","US",10421,2
"42","US",10422,0
"43","US",10423,2
"44","US",10424,1
"45","US",10425,0
"46","US",10426,0
"47","US",10427,0
"48","US",10428,1
"49","US",10429,0
"50","US",10430,2
"51","US",10431,0
"52","US",10432,0
"53","US",10433,0
"54","US",10434,0
"55","US",10435,0
"56","US",10436,1
"57","US",10437,0
"58","US",10438,0
"59","US",10439,0
"60","US",10440,1
"61","US",10441,0
"62","US",10442,2
"63","US",10443,0
"64","US",10444,0
"65","US",10445,0
"66","US",10446,1
"67","US",10447,0
"68","US",10448,0
"69","US",10449,0
"70","US",10450,2
"71","US",10451,0
"72","US",10452,1
"73","US",10453,2
"74","US",10454,2
"75","US",10455,1
"76","US",10456,1
"77","US",10457,2
"78","US",10458,0
"79","US",10460,1
"80","US",10461,0
"81","US",10462,0
"82","US",10463,2
"83","US",10464,1
"84","US",10465,1
"85","US",10466,2
"86","US",10467,0
"87","US",10468,1
"88","US",10469,1
"89","US",10470,2
"90","US",10471,0
"91","US",10472,0
"92","US",10473,0
"93","US",10474,0
"94","US",10475,0
"95","US",10476,1
"96","US",10477,2
"97","US",10478,1
"98","US",10479,2
"99","US",10480,1
"100","US",10481,2
"101","US",10482,0
"102","US",10483,1
"103","US",10484,1
"104","US",10485,1
"105","US",10486,1
"106","US",10487,0
"107","US",10488,2
"108","US",10489,0
"109","US",10490,2
"110","US",10491,2
"111","US",10492,2
"112","US",10493,2
"113","US",10494,0
"114","US",10495,1
"115","US",10496,0
"116","US",10501,2
"117","US",10502,0
"118","US",10503,0
"119","US",10504,1
"120","US",10505,0
"121","US",10506,1
"122","US",10507,1
"123","US",10508,1
"124","US",10509,1
"125","US",10510,1
"126","US",10511,2
"127","US",10512,2
"128","US",10513,1
"129","US",10514,2
"130","US",10515,0
"131","US",10516,0
"132","US",10517,2
"133","US",10518,0
"134","US",10519,2
"135","US",10520,0
"136","US",10521,1
"137","US",10522,0
"138","US",10523,2
"139","US",10524,2
"140","US",10525,1
"141","US",10526,1
"142","US",10527,2
"143","US",10528,0
"144","US",10529,2
"145","US",10530,0
"146","US",10531,0
"147","US",10532,1
"148","US",10533,0
"149","US",10534,1
"150","US",10535,0
"151","US",10536,2
"152","US",10537,0
"153","US",10538,0
"154","US",10539,2
"155","US",10540,2
"156","US",10541,2
"157","US",10542,1
"158","US",10543,2
"159","US",10544,0
"160","US",10545,2
"161","US",10546,0
"162","US",10547,0
"163","US",10548,0
"164","US",10549,2
"165","US",10550,2
"166","US",10552,1
"167","US",10553,1
"168","US",10554,0
"169","US",10555,1
"170","US",10556,1
"171","US",10557,0
"172","US",10558,0
"173","US",10559,0
"174","US",10560,2
"175","US",10561,0
"176","US",10562,1
"177","US",10563,1
"178","US",10564,2
"179","US",10565,1
"180","US",10566,0
"181","US",10567,1
"182","US",10568,2
"183","US",10569,2
"184","US",10570,0
"185","US",10571,2
"186","US",10572,2
"187","US",10573,0
"188","US",10574,0
"189","US",10575,2
"190","US",10576,1
"191","US",10577,1
