"","epi_ctry","epi_subj","score"
"1","US",10381,1
"2","US",10382,1
"3","US",10383,2
"4","US",10384,0
"5","US",10385,0
"6","US",10386,0
"7","US",10387,0
"8","US",10388,1
"9","US",10389,1
"10","US",10390,0
"11","US",10391,2
"12","US",10392,1
"13","US",10393,2
"14","US",10394,2
"15","US",10395,1
"16","US",10396,1
"17","US",10397,1
"18","US",10398,2
"19","US",10399,1
"20","US",10400,1
"21","US",10401,0
"22","US",10402,0
"23","US",10403,0
"24","US",10404,1
"25","US",10405,3
"26","US",10406,1.5
"27","US",10407,1
"28","US",10408,0
"29","US",10409,3
"30","US",10410,0
"31","US",10411,0
"32","US",10412,0
"33","US",10413,1
"34","US",10414,0
"35","US",10415,0
"36","US",10416,2
"37","US",10417,1
"38","US",10418,0
"39","US",10419,1
"40","US",10420,0
"41","US",10421,2
"42","US",10422,1
"43","US",10423,1
"44","US",10424,1
"45","US",10425,1
"46","US",10426,1
"47","US",10427,0
"48","US",10428,0
"49","US",10429,0
"50","US",10430,1
"51","US",10431,2
"52","US",10432,0
"53","US",10433,0
"54","US",10434,0
"55","US",10435,0
"56","US",10436,1
"57","US",10437,0
"58","US",10438,2.5
"59","US",10439,0
"60","US",10440,1
"61","US",10441,0
"62","US",10442,0
"63","US",10443,1
"64","US",10444,0
"65","US",10445,2
"66","US",10446,0
"67","US",10447,0
"68","US",10448,0
"69","US",10449,0
"70","US",10450,0
"71","US",10451,0
"72","US",10452,1
"73","US",10453,1
"74","US",10454,1
"75","US",10455,0
"76","US",10456,2
"77","US",10457,0
"78","US",10458,3
"79","US",10460,0
"80","US",10461,1
"81","US",10462,1
"82","US",10463,2
"83","US",10464,0
"84","US",10465,1
"85","US",10466,6
"86","US",10467,0
"87","US",10468,0
"88","US",10469,1
"89","US",10470,0
"90","US",10471,0
"91","US",10472,1
"92","US",10473,0
"93","US",10474,1
"94","US",10475,1
"95","US",10476,0
"96","US",10477,1
"97","US",10478,1
"98","US",10479,2
"99","US",10480,0
"100","US",10481,0
"101","US",10482,1
"102","US",10483,2
"103","US",10484,0
"104","US",10485,1
"105","US",10486,1
"106","US",10487,0
"107","US",10488,0
"108","US",10489,0
"109","US",10490,2
"110","US",10491,0
"111","US",10492,2
"112","US",10493,1
"113","US",10494,1
"114","US",10495,0
"115","US",10496,1
"116","US",10501,0
"117","US",10502,0
"118","US",10503,0
"119","US",10504,1
"120","US",10505,1
"121","US",10506,1
"122","US",10507,1
"123","US",10508,0
"124","US",10509,1
"125","US",10510,1
"126","US",10511,0
"127","US",10512,1
"128","US",10513,2
"129","US",10514,1
"130","US",10515,0
"131","US",10516,0
"132","US",10517,2
"133","US",10518,0
"134","US",10519,4
"135","US",10520,2
"136","US",10521,2
"137","US",10522,3
"138","US",10523,2
"139","US",10524,1
"140","US",10525,1
"141","US",10526,0
"142","US",10527,0
"143","US",10528,0
"144","US",10529,1
"145","US",10530,1
"146","US",10531,2
"147","US",10532,0
"148","US",10533,0
"149","US",10534,0
"150","US",10535,0
"151","US",10536,1
"152","US",10537,0
"153","US",10538,0
"154","US",10539,1
"155","US",10540,2
"156","US",10541,2
"157","US",10542,2
"158","US",10543,2
"159","US",10544,1
"160","US",10545,3
"161","US",10546,0
"162","US",10547,0
"163","US",10548,1
"164","US",10549,1
"165","US",10550,1
"166","US",10552,0
"167","US",10553,0
"168","US",10554,0
"169","US",10555,1
"170","US",10556,0
"171","US",10557,1
"172","US",10558,1
"173","US",10559,0.5
"174","US",10560,2
"175","US",10561,0
"176","US",10562,1
"177","US",10563,2
"178","US",10564,0
"179","US",10565,1
"180","US",10566,1
"181","US",10567,0
"182","US",10568,5
"183","US",10569,0
"184","US",10570,1
"185","US",10571,0
"186","US",10572,2
"187","US",10573,0
"188","US",10574,0
"189","US",10575,0
"190","US",10576,0
"191","US",10577,0
"192","US",10578,0
"193","US",10579,2
"194","US",10580,3
"195","US",10581,1
"196","US",10582,1
"197","US",10583,2
"198","US",10584,0
"199","US",10585,1
"200","US",10586,1
"201","US",10587,1
"202","US",10588,0
"203","US",10589,0
"204","US",10590,3
"205","US",10591,3
"206","US",10592,1
"207","US",10593,0
"208","US",10594,0
"209","US",10595,0
"210","US",10596,1
"211","US",10597,2
"212","US",10598,1
"213","US",10599,4
"214","US",10600,1
"215","US",10601,1
"216","US",10602,1
"217","US",10603,2
"218","US",10604,1
"219","US",10605,2
"220","US",10606,2
"221","US",10608,1
"222","US",10609,1
"223","US",10610,1
"224","US",10611,1
"225","US",10612,1
"226","US",10613,0
"227","Ghana",40601,1
"228","Ghana",40602,1
"229","Ghana",40603,1
"230","Ghana",40604,1
"231","Ghana",40605,1
"232","Ghana",40606,1
"233","Ghana",40607,1
"234","Ghana",40608,1
"235","Ghana",40609,4
"236","Ghana",40610,1
"237","Ghana",40611,2
"238","Ghana",40612,0
"239","Ghana",40613,3
"240","Ghana",40614,2
"241","Ghana",40615,2
"242","Ghana",40616,3
"243","Ghana",40617,0
"244","Ghana",40618,2
"245","Ghana",40619,1
"246","Ghana",40620,3
"247","Ghana",40621,0
"248","Ghana",40622,1
"249","Ghana",40623,1
"250","Ghana",40624,2
"251","Ghana",40625,0
"252","Ghana",40626,0
"253","Ghana",40627,3
"254","Ghana",40628,1
"255","Ghana",40629,2
"256","Ghana",40630,3
"257","Ghana",40631,2
"258","Ghana",40632,2
"259","Ghana",40633,2
"260","Ghana",40634,2
"261","Ghana",40635,2
"262","Ghana",40636,0
"263","Ghana",40637,2
"264","Ghana",40638,3
"265","Ghana",40639,1
"266","Ghana",40640,1
"267","Ghana",40641,1
"268","Ghana",40642,2
"269","Ghana",40643,3
"270","Ghana",40644,3
"271","Ghana",40645,3
"272","Ghana",40646,4
"273","Ghana",40647,1
"274","Ghana",40648,2
"275","Ghana",40649,2
"276","Ghana",40650,1
"277","Ghana",40651,2
"278","Ghana",40652,1
"279","Ghana",40653,0
"280","Ghana",40654,3
"281","Ghana",40655,3
"282","Ghana",40656,2
"283","Ghana",40657,0
"284","Ghana",40658,1
"285","Ghana",40659,3
"286","Ghana",40660,3
"287","Ghana",40661,3
"288","Ghana",40662,1
"289","Ghana",40663,0
"290","Ghana",40664,2
"291","Ghana",40665,2
"292","Ghana",40666,1
"293","Ghana",40667,2
"294","Ghana",40668,2
"295","Ghana",40669,2
"296","Ghana",40670,2
"297","Ghana",40671,4
"298","Ghana",40672,1
"299","Ghana",40673,0
"300","Ghana",40674,1
"301","Ghana",40675,3
"302","Ghana",40676,0
"303","Ghana",40677,1
"304","Ghana",40678,3
"305","Ghana",40679,2
"306","Ghana",40680,3
"307","Ghana",40681,1
"308","Ghana",40682,2
"309","Ghana",40683,2
"310","Ghana",40684,2
"311","Ghana",40685,3
"312","Ghana",40686,1
"313","Ghana",40687,2
"314","Ghana",40688,1
"315","Ghana",40689,3
"316","Ghana",40690,1
"317","Ghana",40691,4
"318","Ghana",40692,0
"319","Ghana",40693,2
"320","Ghana",40694,2
"321","Ghana",40695,3
"322","Ghana",40696,2
"323","Ghana",40697,2
"324","Ghana",40698,2
"325","Ghana",40699,1
"326","Ghana",40700,2
"327","Ghana",40701,2
"328","Ghana",40702,4
"329","Ghana",40703,2
"330","Ghana",40704,4
"331","Ghana",40705,2
"332","Ghana",40706,0
"333","Ghana",40707,2
"334","Ghana",40708,0
"335","Ghana",40709,3
"336","Ghana",40710,4
"337","Ghana",40711,1
"338","Ghana",40712,3
"339","Ghana",40713,1
